order_id,customer_id,product_id,quantity,unit_price,order_date,status,shipping_country
ORD-00001,CUST-1140,PROD-K11,1,54.99,2024-01-15,completed,CA
ORD-00002,CUST-1456,PROD-C3,3,9.99,2024-01-14,shipped,US
ORD-00003,CUST-1047,PROD-J10,1,12.99,2024-02-24,completed,CA
ORD-00004,CUST-1101,PROD-I9,1,34.99,2024-03-18,cancelled,BR
ORD-00005,CUST-1301,PROD-I9,1,34.99,2024-02-23,completed,MX
ORD-00006,CUST-1081,PROD-N14,3,14.99,2024-01-01,pending,DE
ORD-00007,CUST-1390,PROD-E5,1,199.99,2024-01-20,completed,US
ORD-00008,CUST-1433,PROD-B2,1,149.99,2024-02-18,completed,NL
ORD-00009,CUST-1274,PROD-E5,3,199.99,2024-01-06,completed,FR
ORD-00010,CUST-1321,PROD-B2,1,149.99,2024-03-11,shipped,DE
ORD-00011,CUST-1023,PROD-J10,3,12.99,2024-01-25,cancelled,CA
ORD-00012,CUST-1437,PROD-M13,10,89.99,2024-02-07,completed,US
ORD-00013,CUST-1427,PROD-G7,2,49.95,2024-02-05,completed,US
ORD-00014,CUST-1136,PROD-F6,1,39.99,2024-02-15,cancelled,SE
ORD-00015,CUST-1273,PROD-B2,2,149.99,2024-03-18,completed,US
ORD-00016,CUST-1473,PROD-H8,1,59.99,2024-02-18,cancelled,BR
ORD-00017,CUST-1431,PROD-I9,3,34.99,2024-01-29,completed,CA
ORD-00018,CUST-1205,PROD-N14,4,14.99,2024-01-05,completed,US
ORD-00019,CUST-1161,PROD-D4,4,74.5,2024-03-13,completed,SE
ORD-00020,CUST-1329,PROD-H8,5,59.99,2024-02-20,pending,US
ORD-00021,CUST-1287,PROD-E5,1,199.99,2024-01-18,shipped,UK
ORD-00022,CUST-1298,PROD-L12,2,149.0,2024-03-15,pending,DE
ORD-00023,CUST-1046,PROD-D4,2,74.5,2024-01-18,completed,US
ORD-00024,CUST-1348,PROD-C3,1,9.99,2024-03-21,pending,NL
ORD-00025,CUST-1239,PROD-B2,1,149.99,2024-02-19,shipped,UK
